,id,title,abstract,categories,title_abstract
215,0704.0216,Ab initio Study of Graphene on SiC,"  Employing density-functional calculations we study single and double graphene
layers on Si- and C-terminated 1x1-6H-SiC surfaces. We show that, in contrast
to earlier assumptions, the first carbon layer is covalently bonded to the
substrate, and cannot be responsible for the graphene-type electronic spectrum
observed experimentally. The characteristic spectrum of free-standing graphene
appears with the second carbon layer, which exhibits a weak van der Waals
bonding to the underlying structure. For Si-terminated substrate, the interface
is metallic, whereas on C-face it is semiconducting or semimetallic for single
or double graphene coverage, respectively.
",cond-mat.mtrl-sci,"Ab initio Study of Graphene on SiC   Employing density-functional calculations we study single and double graphene
layers on Si- and C-terminated 1x1-6H-SiC surfaces. We show that, in contrast
to earlier assumptions, the first carbon layer is covalently bonded to the
substrate, and cannot be responsible for the graphene-type electronic spectrum
observed experimentally. The characteristic spectrum of free-standing graphene
appears with the second carbon layer, which exhibits a weak van der Waals
bonding to the underlying structure. For Si-terminated substrate, the interface
is metallic, whereas on C-face it is semiconducting or semimetallic for single
or double graphene coverage, respectively.
"
119731,0904.3065,"Vortex nucleation as a case study of symmetry breaking in quantum
  systems","  Mean-field methods are a very powerful tool for investigating weakly
interacting many-body systems in many branches of physics. In particular, they
describe with excellent accuracy trapped Bose-Einstein condensates. A generic,
but difficult question concerns the relation between the symmetry properties of
the true many-body state and its mean-field approximation. Here, we address
this question by considering, theoretically, vortex nucleation in a rotating
Bose-Einstein condensate. A slow sweep of the rotation frequency changes the
state of the system from being at rest to the one containing one vortex. Within
the mean-field framework, the jump in symmetry occurs through a turbulent phase
around a certain critical frequency. The exact many-body ground state at the
critical frequency exhibits strong correlations and entanglement. We believe
that this constitutes a paradigm example of symmetry breaking in - or change of
the order parameter of - quantum many-body systems in the course of adiabatic
evolution.
",cond-mat.quant-gas,"Vortex nucleation as a case study of symmetry breaking in quantum
  systems   Mean-field methods are a very powerful tool for investigating weakly
interacting many-body systems in many branches of physics. In particular, they
describe with excellent accuracy trapped Bose-Einstein condensates. A generic,
but difficult question concerns the relation between the symmetry properties of
the true many-body state and its mean-field approximation. Here, we address
this question by considering, theoretically, vortex nucleation in a rotating
Bose-Einstein condensate. A slow sweep of the rotation frequency changes the
state of the system from being at rest to the one containing one vortex. Within
the mean-field framework, the jump in symmetry occurs through a turbulent phase
around a certain critical frequency. The exact many-body ground state at the
critical frequency exhibits strong correlations and entanglement. We believe
that this constitutes a paradigm example of symmetry breaking in - or change of
the order parameter of - quantum many-body systems in the course of adiabatic
evolution.
"
172,0704.0173,Bonding of H in O vacancies of ZnO,"  We investigate the bonding of H in O vacancies of ZnO using density
functional calculations. We find that H is anionic and does not form
multicenter bonds with Zn in this compound.
",cond-mat.mtrl-sci,"Bonding of H in O vacancies of ZnO   We investigate the bonding of H in O vacancies of ZnO using density
functional calculations. We find that H is anionic and does not form
multicenter bonds with Zn in this compound.
"
1294,0704.1295,"Electronic structure of the noncentrosymmetric superconductor
  Mg10Ir19B16","  Electronic structure of a novel superconducting noncentrosymmetric compound
Mg10Ir19B16 was calculated using the Korringa-Kohn-Rostoker method. Electronic
part of the electron-phonon coupling constant, McMillan-Hopfield parameters,
were calculated using the rigid-muffin-tin approximation (RMTA). The magnitude
of the electron-phonon coupling constant, analysing atomic contributions, is
discussed. Our results show, that superconductivity in Mg10Ir19B16 is
presumably mediated by electron-phonon interaction.
",cond-mat.supr-con,"Electronic structure of the noncentrosymmetric superconductor
  Mg10Ir19B16   Electronic structure of a novel superconducting noncentrosymmetric compound
Mg10Ir19B16 was calculated using the Korringa-Kohn-Rostoker method. Electronic
part of the electron-phonon coupling constant, McMillan-Hopfield parameters,
were calculated using the rigid-muffin-tin approximation (RMTA). The magnitude
of the electron-phonon coupling constant, analysing atomic contributions, is
discussed. Our results show, that superconductivity in Mg10Ir19B16 is
presumably mediated by electron-phonon interaction.
"
3226,0704.3227,Smectic elastomer membranes,"  We present a model for smectic elastomer membranes which includes elastic and
liquid crystalline degrees of freedom. Based on our model, we determined the
qualitative phase diagram of a smectic elastomer membrane using mean-field
theory. This phase diagram is found to comprise five phases, viz.
smectic-A--flat, smectic-A--crumpled, smectic-C--flat, smectic-C--crumpled and
smectic-C--tubule, where in the latter phase, the membrane is flat in the
direction of mesogenic tilt and crumpled in the perpendicular direction. The
transitions between adjacent phases are second order phase transitions. We
study in some detail the elasticity of the smectic-C--flat and the
smectic-C--tubule phases which are associated with a spontaneous breaking of
in-plane rotational symmetry. As a consequence of the Goldstone theorem, these
phases exhibit soft elasticity characterized by the vanishing of in-plane shear
moduli.
",cond-mat.soft,"Smectic elastomer membranes   We present a model for smectic elastomer membranes which includes elastic and
liquid crystalline degrees of freedom. Based on our model, we determined the
qualitative phase diagram of a smectic elastomer membrane using mean-field
theory. This phase diagram is found to comprise five phases, viz.
smectic-A--flat, smectic-A--crumpled, smectic-C--flat, smectic-C--crumpled and
smectic-C--tubule, where in the latter phase, the membrane is flat in the
direction of mesogenic tilt and crumpled in the perpendicular direction. The
transitions between adjacent phases are second order phase transitions. We
study in some detail the elasticity of the smectic-C--flat and the
smectic-C--tubule phases which are associated with a spontaneous breaking of
in-plane rotational symmetry. As a consequence of the Goldstone theorem, these
phases exhibit soft elasticity characterized by the vanishing of in-plane shear
moduli.
"
2668,0704.2669,Effect of premelting on conductivity of DNA-lipid films,"  We have measured temperature dependent (between 20 and 80 C) electrical
conductivity and molecular structure (Raman spectroscopy) of DNA-lipid cast
film. Our findings show that the conductivity is strongly influenced by
premelting effects in the molecular structure starting near physiological
temperatures (~40 C), prior to the global DNA denaturation.
",cond-mat.soft,"Effect of premelting on conductivity of DNA-lipid films   We have measured temperature dependent (between 20 and 80 C) electrical
conductivity and molecular structure (Raman spectroscopy) of DNA-lipid cast
film. Our findings show that the conductivity is strongly influenced by
premelting effects in the molecular structure starting near physiological
temperatures (~40 C), prior to the global DNA denaturation.
"
7189,0705.3187,"Comment on ``Spherical 2 + p spin-glass model: An analytically solvable
  model with a glass-to-glass transition''","  Guided by old results on simple mode-coupling models displaying glass-glass
transitions, we demonstrate, through a crude analysis of the solution with one
step of replica symmetry breaking (1RSB) derived by Crisanti and Leuzzi for the
spherical $s+p$ mean-field spin glass [Phys. Rev. B 73, 014412 (2006)], that
the phase behavior of these systems is not yet fully understood when $s$ and
$p$ are well separated. First, there seems to be a possibility of glass-glass
transition scenarios in these systems. Second, we find clear indications that
the 1RSB solution cannot be correct in the full glassy phase. Therefore, while
the proposed analysis is clearly naive and probably inexact, it definitely
calls for a reassessment of the physics of these systems, with the promise of
potentially interesting new developments in the theory of disordered and
complex systems.
",cond-mat.dis-nn,"Comment on ``Spherical 2 + p spin-glass model: An analytically solvable
  model with a glass-to-glass transition''   Guided by old results on simple mode-coupling models displaying glass-glass
transitions, we demonstrate, through a crude analysis of the solution with one
step of replica symmetry breaking (1RSB) derived by Crisanti and Leuzzi for the
spherical $s+p$ mean-field spin glass [Phys. Rev. B 73, 014412 (2006)], that
the phase behavior of these systems is not yet fully understood when $s$ and
$p$ are well separated. First, there seems to be a possibility of glass-glass
transition scenarios in these systems. Second, we find clear indications that
the 1RSB solution cannot be correct in the full glassy phase. Therefore, while
the proposed analysis is clearly naive and probably inexact, it definitely
calls for a reassessment of the physics of these systems, with the promise of
potentially interesting new developments in the theory of disordered and
complex systems.
"
7216,0705.3214,Stable Irregular Dynamics in Complex Neural Networks,"  For infinitely large sparse networks of spiking neurons mean field theory
shows that a balanced state of highly irregular activity arises under various
conditions. Here we analytically investigate the microscopic irregular dynamics
in finite networks of arbitrary connectivity, keeping track of all individual
spike times. For delayed, purely inhibitory interactions we demonstrate that
the irregular dynamics is not chaotic but rather stable and convergent towards
periodic orbits. Moreover, every generic periodic orbit of these dynamical
systems is stable. These results highlight that chaotic and stable dynamics are
equally capable of generating irregular activity.
",cond-mat.dis-nn,"Stable Irregular Dynamics in Complex Neural Networks   For infinitely large sparse networks of spiking neurons mean field theory
shows that a balanced state of highly irregular activity arises under various
conditions. Here we analytically investigate the microscopic irregular dynamics
in finite networks of arbitrary connectivity, keeping track of all individual
spike times. For delayed, purely inhibitory interactions we demonstrate that
the irregular dynamics is not chaotic but rather stable and convergent towards
periodic orbits. Moreover, every generic periodic orbit of these dynamical
systems is stable. These results highlight that chaotic and stable dynamics are
equally capable of generating irregular activity.
"
2976,0704.2977,Liquid elasticity length and universal dynamic crossovers,"  We discuss two main universal dynamic crossovers in a liquid that correspond
to relaxation times of 1 ps and $10^{-7}-10^{-6}$ s. We introduce the concept
of liquid elasticity length $d_{el}$. At room temperature, $d_{el}$ is several
\AA in water and increases to 0.01 mm in honey and 1 mm in tar. We show that on
temperature decrease, $d_{el}$ crosses the fundamental lengths of the system,
medium-range order $d_m$ and system size $L$. We discuss how $d_{el}=d_m$ and
$d_{el}=L$ correspond to the two dynamic crossovers.
",cond-mat.dis-nn,"Liquid elasticity length and universal dynamic crossovers   We discuss two main universal dynamic crossovers in a liquid that correspond
to relaxation times of 1 ps and $10^{-7}-10^{-6}$ s. We introduce the concept
of liquid elasticity length $d_{el}$. At room temperature, $d_{el}$ is several
\AA in water and increases to 0.01 mm in honey and 1 mm in tar. We show that on
temperature decrease, $d_{el}$ crosses the fundamental lengths of the system,
medium-range order $d_m$ and system size $L$. We discuss how $d_{el}=d_m$ and
$d_{el}=L$ correspond to the two dynamic crossovers.
"
418,0704.0419,Ultrasound attenuation of superfluid $^{3}$He in aerogel,"  We have performed longitudinal ultrasound (9.5 MHz) attenuation measurements
in the B-phase of superfluid $^3$He in 98% porosity aerogel down to the zero
temperature limit for a wide range of pressures at zero magnetic field. The
absolute attenuation was determined by direct transmission of sound pulses.
Compared to the bulk fluid, our results revealed a drastically different
behavior in attenuation, which is consistent with theoretical accounts with
gapless excitations and a collision drag effect.
",cond-mat.supr-con,"Ultrasound attenuation of superfluid $^{3}$He in aerogel   We have performed longitudinal ultrasound (9.5 MHz) attenuation measurements
in the B-phase of superfluid $^3$He in 98% porosity aerogel down to the zero
temperature limit for a wide range of pressures at zero magnetic field. The
absolute attenuation was determined by direct transmission of sound pulses.
Compared to the bulk fluid, our results revealed a drastically different
behavior in attenuation, which is consistent with theoretical accounts with
gapless excitations and a collision drag effect.
"
623,0704.0624,"Temporal Evolution of Step-Edge Fluctuations Under Electromigration
  Conditions","  The temporal evolution of step-edge fluctuations under electromigration
conditions is analysed using a continuum Langevin model. If the
electromigration driving force acts in the step up/down direction, and
step-edge diffusion is the dominant mass-transport mechanism, we find that
significant deviations from the usual $t^{1/4}$ scaling of the terrace-width
correlation function occurs for a critical time $\tau$ which is dependent upon
the three energy scales in the problem: $k_{B}T$, the step stiffness, $\gamma$,
and the bias associated with adatom hopping under the influence of an
electromigration force, $\pm \Delta U$. For ($t < \tau$), the correlation
function evolves as a superposition of $t^{1/4}$ and $t^{3/4}$ power laws. For
$t \ge \tau$ a closed form expression can be derived. This behavior is
confirmed by a Monte-Carlo simulation using a discrete model of the step
dynamics. It is proposed that the magnitude of the electromigration force
acting upon an atom at a step-edge can by estimated by a careful analysis of
the statistical properties of step-edge fluctuations on the appropriate
time-scale.
",cond-mat.mtrl-sci,"Temporal Evolution of Step-Edge Fluctuations Under Electromigration
  Conditions   The temporal evolution of step-edge fluctuations under electromigration
conditions is analysed using a continuum Langevin model. If the
electromigration driving force acts in the step up/down direction, and
step-edge diffusion is the dominant mass-transport mechanism, we find that
significant deviations from the usual $t^{1/4}$ scaling of the terrace-width
correlation function occurs for a critical time $\tau$ which is dependent upon
the three energy scales in the problem: $k_{B}T$, the step stiffness, $\gamma$,
and the bias associated with adatom hopping under the influence of an
electromigration force, $\pm \Delta U$. For ($t < \tau$), the correlation
function evolves as a superposition of $t^{1/4}$ and $t^{3/4}$ power laws. For
$t \ge \tau$ a closed form expression can be derived. This behavior is
confirmed by a Monte-Carlo simulation using a discrete model of the step
dynamics. It is proposed that the magnitude of the electromigration force
acting upon an atom at a step-edge can by estimated by a careful analysis of
the statistical properties of step-edge fluctuations on the appropriate
time-scale.
"
1154,0704.1155,"Noise-induced phase transitions: Effects of the noises' statistics and
  spectrum","  The local, uncorrelated multiplicative noises driving a second-order, purely
noise-induced, ordering phase transition (NIPT) were assumed to be Gaussian and
white in the model of [Phys. Rev. Lett. \textbf{73}, 3395 (1994)]. The
potential scientific and technological interest of this phenomenon calls for a
study of the effects of the noises' statistics and spectrum. This task is
facilitated if these noises are dynamically generated by means of stochastic
differential equations (SDE) driven by white noises. One such case is that of
Ornstein--Uhlenbeck noises which are stationary, with Gaussian pdf and a
variance reduced by the self-correlation time (\tau), and whose effect on the
NIPT phase diagram has been studied some time ago. Another such case is when
the stationary pdf is a (colored) Tsallis' (q)--\emph{Gaussian} which, being a
\emph{fat-tail} distribution for (q>1) and a \emph{compact-support} one for
(q<1), allows for a controlled exploration of the effects of the departure from
Gaussian statistics. As done before with stochastic resonance and other
phenomena, we now exploit this tool to study--within a simple mean-field
approximation and with an emphasis on the \emph{order parameter} and the
``\emph{susceptibility}''--the combined effect on NIPT of the noises'
statistics and spectrum. Even for relatively small (\tau), it is shown that
whereas fat-tail noise distributions ((q>1)) counteract the effect of
self-correlation, compact-support ones ((q<1)) enhance it. Also, an interesting
effect on the susceptibility is seen in the last case.
",cond-mat.stat-mech,"Noise-induced phase transitions: Effects of the noises' statistics and
  spectrum   The local, uncorrelated multiplicative noises driving a second-order, purely
noise-induced, ordering phase transition (NIPT) were assumed to be Gaussian and
white in the model of [Phys. Rev. Lett. \textbf{73}, 3395 (1994)]. The
potential scientific and technological interest of this phenomenon calls for a
study of the effects of the noises' statistics and spectrum. This task is
facilitated if these noises are dynamically generated by means of stochastic
differential equations (SDE) driven by white noises. One such case is that of
Ornstein--Uhlenbeck noises which are stationary, with Gaussian pdf and a
variance reduced by the self-correlation time (\tau), and whose effect on the
NIPT phase diagram has been studied some time ago. Another such case is when
the stationary pdf is a (colored) Tsallis' (q)--\emph{Gaussian} which, being a
\emph{fat-tail} distribution for (q>1) and a \emph{compact-support} one for
(q<1), allows for a controlled exploration of the effects of the departure from
Gaussian statistics. As done before with stochastic resonance and other
phenomena, we now exploit this tool to study--within a simple mean-field
approximation and with an emphasis on the \emph{order parameter} and the
``\emph{susceptibility}''--the combined effect on NIPT of the noises'
statistics and spectrum. Even for relatively small (\tau), it is shown that
whereas fat-tail noise distributions ((q>1)) counteract the effect of
self-correlation, compact-support ones ((q<1)) enhance it. Also, an interesting
effect on the susceptibility is seen in the last case.
"
866,0704.0867,"Density oscillation in highly flattened quantum elliptic rings and
  tunable strong dipole radiation","  A narrow elliptic ring containing an electron threaded by a magnetic field B
is studied. When the ring is highly flattened, the increase of B would lead to
a big energy gap between the ground and excited states, and therefore lead to a
strong emission of dipole photons. The photon frequency can be tuned in a wide
range by changing B and/or the shape of the ellipse. The particle density is
found to oscillate from a pattern of distribution to another pattern back and
forth against $B$. This is a new kind of Aharonov-Bohm oscillation originating
from symmetry breaking and is different from the usual oscillation of
persistent current.
",cond-mat.other,"Density oscillation in highly flattened quantum elliptic rings and
  tunable strong dipole radiation   A narrow elliptic ring containing an electron threaded by a magnetic field B
is studied. When the ring is highly flattened, the increase of B would lead to
a big energy gap between the ground and excited states, and therefore lead to a
strong emission of dipole photons. The photon frequency can be tuned in a wide
range by changing B and/or the shape of the ellipse. The particle density is
found to oscillate from a pattern of distribution to another pattern back and
forth against $B$. This is a new kind of Aharonov-Bohm oscillation originating
from symmetry breaking and is different from the usual oscillation of
persistent current.
"
2974,0704.2975,The Vogel-Fulcher-Tamman law in the elastic theory of glass transition,"  We propose that the origin of the Vogel-Fulcher-Tammann law is the increase
of the range of elastic interaction between local relaxation events in a
liquid. In this picture, we discuss the origin of cooperativity of relaxation,
the absence of divergence of relaxation time at a finite temperature and the
crossover to a more Arrhenius behaviour at low temperature.
",cond-mat.dis-nn,"The Vogel-Fulcher-Tamman law in the elastic theory of glass transition   We propose that the origin of the Vogel-Fulcher-Tammann law is the increase
of the range of elastic interaction between local relaxation events in a
liquid. In this picture, we discuss the origin of cooperativity of relaxation,
the absence of divergence of relaxation time at a finite temperature and the
crossover to a more Arrhenius behaviour at low temperature.
"
